startTimeLocal,activityType,distance,duration,averageSpeed,averageHR,calories
2025-06-07 09:15:11,"{'typeId': 151, 'typeKey': 'stop_watch', 'parentTypeId': 4, 'isHidden': False, 'restricted': False, 'trimmable': True}",,4545.8681640625,,,
2025-06-06 17:28:58,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",9200.2197265625,3143.40087890625,2.927000045776367,125.0,534.0
2025-06-04 17:25:14,"{'typeId': 13, 'typeKey': 'strength_training', 'parentTypeId': 29, 'isHidden': False, 'restricted': False, 'trimmable': False}",,590.1649780273438,,,
2025-06-04 16:54:15,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",4996.740234375,1635.208984375,3.055999994277954,133.0,320.0
2025-06-03 17:50:56,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",4406.06982421875,1348.01904296875,3.2690000534057617,138.0,294.0
2025-06-03 16:58:24,"{'typeId': 2, 'typeKey': 'cycling', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",19819.66015625,2699.47705078125,7.3420000076293945,124.0,497.0
2025-06-02 17:44:18,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",6419.240234375,2290.845947265625,2.802000045776367,119.0,358.0
2025-05-31 08:57:27,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",4997.35986328125,1898.2249755859375,2.6329998970031734,122.0,305.0
2025-05-30 11:27:49,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",9998.9296875,3501.260009765625,2.855999946594238,133.0,673.0
2025-05-29 09:25:03,"{'typeId': 139, 'typeKey': 'rock_climbing', 'parentTypeId': 4, 'isHidden': False, 'restricted': False, 'trimmable': False}",,5040.98876953125,,,
2025-05-28 17:16:37,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",4597.81005859375,1594.6109619140625,2.882999897003174,134.0,315.0
2025-05-27 18:11:07,"{'typeId': 139, 'typeKey': 'rock_climbing', 'parentTypeId': 4, 'isHidden': False, 'restricted': False, 'trimmable': False}",,5080.830078125,,,
2025-05-26 16:43:45,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5600.56982421875,1953.427978515625,2.867000102996826,126.0,364.0
2025-05-24 08:55:12,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",6298.97021484375,2115.375,2.977999925613403,133.0,432.0
2025-05-06 16:28:16,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5000.64013671875,1555.291015625,3.214999914169312,131.0,316.0
2025-05-01 12:27:59,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",8197.6201171875,2703.345947265625,3.0320000648498535,131.0,528.0
2025-04-29 17:23:45,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",11056.150390625,3721.43994140625,2.970999956130981,130.0,692.0
2025-04-27 14:48:01,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",12700.3203125,4410.28076171875,2.880000114440918,124.0,740.0
2025-04-25 15:56:34,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",10098.0,3727.759033203125,2.7090001106262207,111.0,508.0
2025-04-24 12:15:11,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",8471.1201171875,3005.4541015625,2.819000005722046,,650.0
2025-04-22 08:51:55,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",7247.0498046875,2612.708984375,2.7739999294281006,,579.0
2025-04-14 14:10:26,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5864.77978515625,2021.0679931640625,2.9019999504089355,127.0,384.0
2025-04-11 11:25:08,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5546.81982421875,1898.1810302734375,2.921999931335449,,441.0
2025-04-11 10:52:06,"{'typeId': 139, 'typeKey': 'rock_climbing', 'parentTypeId': 4, 'isHidden': False, 'restricted': False, 'trimmable': False}",,3940.342041015625,,,
2025-04-10 09:19:07,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",8998.5302734375,2679.160888671875,3.3589999675750737,139.0,582.0
2025-04-08 16:17:20,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",6670.3798828125,2743.72412109375,2.430999994277954,113.0,405.0
2025-04-07 14:16:00,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",6001.64990234375,2041.18701171875,2.940000057220459,129.0,336.0
2025-04-04 11:59:29,"{'typeId': 13, 'typeKey': 'strength_training', 'parentTypeId': 29, 'isHidden': False, 'restricted': False, 'trimmable': False}",,900.468017578125,,,
2025-04-04 10:34:57,"{'typeId': 139, 'typeKey': 'rock_climbing', 'parentTypeId': 4, 'isHidden': False, 'restricted': False, 'trimmable': False}",,4790.90576171875,,,
2025-04-02 16:26:55,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5497.89013671875,1970.9010009765625,2.7899999618530273,,399.0
2025-04-01 14:50:18,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5998.91015625,2124.367919921875,2.8239998817443848,,480.0
2025-03-30 14:09:13,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",21493.169921875,6386.19384765625,3.3659999370574956,151.0,1492.0
2025-03-23 10:31:31,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",11000.98046875,3378.833984375,3.25600004196167,137.0,721.0
2025-03-19 09:49:20,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",6999.52001953125,2238.27197265625,3.127000093460083,132.0,456.0
2025-03-18 12:20:20,"{'typeId': 4, 'typeKey': 'other', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",0.0,3660.787109375,0.0,,0.0
2025-03-18 11:54:42,"{'typeId': 13, 'typeKey': 'strength_training', 'parentTypeId': 29, 'isHidden': False, 'restricted': False, 'trimmable': False}",0.0,1220.52099609375,0.0,,0.0
2025-03-15 09:44:13,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",18999.2109375,6720.64208984375,2.8269999027252193,123.0,1036.0
2025-03-13 09:54:22,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5499.64013671875,1796.27099609375,3.062000036239624,133.0,385.0
2025-03-09 06:57:58,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5000.0,1408.010986328125,3.551108620600265,138.0,319.0
2025-03-08 09:14:52,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",19997.9609375,7333.35986328125,2.726999998092651,117.0,1059.0
2025-03-06 09:59:28,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",10001.1103515625,3579.81494140625,2.7939999103546143,120.0,585.0
2025-03-04 10:12:12,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",11998.9404296875,4374.10595703125,2.743000030517578,119.0,677.0
2025-03-02 10:42:41,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",18000.109375,6343.125,2.8380000591278076,126.0,1090.0
2025-03-01 07:56:08,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",9999.1201171875,2987.799072265625,3.3469998836517334,138.0,664.0
2025-02-26 16:05:01,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",6917.06005859375,2344.5380859375,2.9500000476837154,127.0,428.0
2025-02-25 10:55:43,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",10000.2197265625,3459.7099609375,2.890000104904175,128.0,664.0
2025-02-23 10:50:47,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",13999.76953125,5059.3798828125,2.7669999599456787,121.0,787.0
2025-02-20 17:42:13,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",7548.75,2766.6689453125,2.7279999256134033,129.0,491.0
2025-02-19 12:10:26,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",9997.76953125,3057.3291015625,3.2699999809265137,141.0,635.0
2025-02-16 10:44:47,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",16999.619140625,5767.93701171875,2.947000026702881,131.0,1049.0
